most_ads_day,most_ads_hour,test_group,users,conversions,conversion_rate,conversion_rate_pct
Sunday,16,psa,199,7,0.035175879396984924,3.5175879396984926
Sunday,17,ad,5077,160,0.0315146740200906,3.15146740200906
Sunday,17,psa,199,6,0.03015075376884422,3.015075376884422
Sunday,18,ad,4810,144,0.02993762993762994,2.993762993762994
Sunday,18,psa,172,5,0.029069767441860465,2.9069767441860463
Sunday,19,ad,4520,161,0.035619469026548674,3.5619469026548676
Sunday,19,psa,174,6,0.034482758620689655,3.4482758620689653
Sunday,20,ad,3733,163,0.04366461291186713,4.366461291186713
Sunday,20,psa,159,5,0.031446540880503145,3.1446540880503147
Sunday,21,ad,3705,136,0.03670715249662618,3.6707152496626176
Sunday,21,psa,136,3,0.022058823529411766,2.2058823529411766
Sunday,22,ad,3344,104,0.03110047846889952,3.110047846889952
Sunday,22,psa,124,3,0.024193548387096774,2.4193548387096775
Sunday,23,ad,2701,80,0.029618659755646058,2.961865975564606
Sunday,23,psa,99,0,0.0,0.0
Thursday,0,ad,708,18,0.025423728813559324,2.5423728813559325
Thursday,0,psa,44,0,0.0,0.0
Thursday,1,ad,691,13,0.01881331403762663,1.881331403762663
Thursday,1,psa,34,0,0.0,0.0
Thursday,2,ad,683,9,0.013177159590043924,1.3177159590043925
Thursday,2,psa,39,0,0.0,0.0
Thursday,3,ad,363,2,0.005509641873278237,0.5509641873278237
Thursday,3,psa,8,0,0.0,0.0
Thursday,4,ad,109,3,0.027522935779816515,2.7522935779816518
Thursday,4,psa,6,0,0.0,0.0
Thursday,5,ad,91,2,0.02197802197802198,2.197802197802198
Thursday,5,psa,5,0,0.0,0.0
Thursday,6,ad,285,6,0.021052631578947368,2.1052631578947367
Thursday,6,psa,18,0,0.0,0.0
Thursday,7,ad,1005,16,0.015920398009950248,1.5920398009950247
Thursday,7,psa,60,0,0.0,0.0
Thursday,8,ad,2722,41,0.015062454077883909,1.5062454077883909
Thursday,8,psa,140,4,0.02857142857142857,2.857142857142857
Thursday,9,ad,4404,70,0.01589464123524069,1.589464123524069
Thursday,9,psa,220,4,0.01818181818181818,1.8181818181818181
Thursday,10,ad,4945,85,0.017189079878665317,1.7189079878665317
Thursday,10,psa,233,1,0.004291845493562232,0.4291845493562232
Thursday,11,ad,5171,118,0.022819570682653258,2.2819570682653256
Thursday,11,psa,283,5,0.0176678445229682,1.76678445229682
Thursday,12,ad,5892,115,0.019517990495587237,1.9517990495587236
Thursday,12,psa,317,7,0.022082018927444796,2.2082018927444795
Thursday,13,ad,6374,124,0.019454032005020397,1.9454032005020396
Thursday,13,psa,368,5,0.01358695652173913,1.358695652173913
Thursday,14,ad,6543,167,0.02552346018645881,2.5523460186458813
Thursday,14,psa,323,8,0.02476780185758514,2.476780185758514
Thursday,15,ad,5980,147,0.024581939799331105,2.4581939799331107
Thursday,15,psa,282,8,0.028368794326241134,2.8368794326241136
Thursday,16,ad,5523,145,0.026253847546623212,2.625384754662321
Thursday,16,psa,263,9,0.034220532319391636,3.4220532319391634
Thursday,17,ad,4801,103,0.021453863778379503,2.1453863778379505
Thursday,17,psa,232,4,0.017241379310344827,1.7241379310344827
Thursday,18,ad,4303,98,0.0227748082732977,2.27748082732977
Thursday,18,psa,205,5,0.024390243902439025,2.4390243902439024
Thursday,19,ad,3970,96,0.024181360201511334,2.4181360201511333
Thursday,19,psa,193,3,0.015544041450777202,1.5544041450777202
Thursday,20,ad,3801,109,0.028676664035780057,2.8676664035780055
Thursday,20,psa,178,3,0.016853932584269662,1.6853932584269662
Thursday,21,ad,4222,88,0.020843202273803884,2.0843202273803882
Thursday,21,psa,175,4,0.022857142857142857,2.2857142857142856
Thursday,22,ad,3680,80,0.021739130434782608,2.1739130434782608
Thursday,22,psa,160,6,0.0375,3.75
Thursday,23,ad,2811,56,0.019921736036997508,1.9921736036997508
Thursday,23,psa,119,3,0.025210084033613446,2.5210084033613445
Tuesday,0,ad,713,14,0.019635343618513323,1.9635343618513323
Tuesday,0,psa,24,0,0.0,0.0
Tuesday,1,ad,632,9,0.014240506329113924,1.4240506329113924
Tuesday,1,psa,20,0,0.0,0.0
Tuesday,2,ad,728,4,0.005494505494505495,0.5494505494505495
Tuesday,2,psa,16,0,0.0,0.0
Tuesday,3,ad,336,7,0.020833333333333332,2.083333333333333
Tuesday,3,psa,7,1,0.14285714285714285,14.285714285714285
Tuesday,4,ad,100,2,0.02,2.0
Tuesday,4,psa,4,0,0.0,0.0
